age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
29,8,2,Bachelor,Full-time,40274,Same Religion,1,5.72556807291985,9,Collaborative,7.82512877751287,0,0,1,7.16731197119698,5,Love,1,0,6.48778763821846,0
23,25,1,High School,Full-time,98935,Same Religion,0,6.72813502231566,3,Avoidant,6.20222648766543,0,0,0,5.60849321833849,4,Love,0,0,7.75918891038774,1
20,34,1,Bachelor,Full-time,39319,Different Religion,1,4.09209732619926,0,Collaborative,5.67646598743665,0,0,0,4.48575691823324,5,Love,0,0,4.10051904442822,0
35,7,3,No Formal Education,Full-time,43010,Same Religion,0,8.14184163198905,3,Aggressive,4.28844992139538,0,0,0,6.83785462824535,4,Love,1,0,4.67243058745066,1
26,6,0,Bachelor,Homemaker,56089,Different Religion,1,7.1520585171473,0,Avoidant,6.05656766082982,0,1,0,8.6651709345747,2,Love,1,0,3.64247126364041,1
28,29,3,No Formal Education,Homemaker,57741,Same Religion,1,5.43328939982296,2,Collaborative,3.81563028442367,0,0,0,5.06422271571339,3,Love,1,0,3.83067682608516,0
20,11,2,High School,Homemaker,72040,Same Religion,1,5.87559607012895,4,Avoidant,2.9957254643475,1,0,1,5.34303785963361,2,Love,0,0,6.72414350319279,0
25,1,1,Master,Homemaker,46531,Same Religion,1,5.52052446476933,3,Avoidant,6.32745093590867,0,0,0,7.73080998949623,6,Arranged,1,0,5.74742620245135,0
28,6,2,High School,Unemployed,20228,Different Religion,1,8.66646324988922,4,Aggressive,3.58068416999595,1,0,0,5.86673142912962,2,Love,1,0,2.85837063867726,0
22,2,2,High School,Part-time,55371,Same Religion,1,6.86254870297363,1,Avoidant,2.33033958192675,0,0,1,5.89005558979083,3,Arranged,0,0,5.9978730078098,0
29,6,2,Bachelor,Unemployed,56718,Same Religion,1,7.08477608680126,2,Passive,6.07933681034702,1,0,0,4.68481201296077,3,Arranged,0,0,6.65342063751577,1
24,6,0,Bachelor,Full-time,55094,Not Religious,1,6.13834118909141,5,Collaborative,1.60513025334163,0,0,1,7.03895383006946,3,Love,0,0,7.27259264184103,1
26,8,1,Master,Full-time,54828,Not Religious,1,5.99953096387421,1,Passive,5.97183775465879,1,0,1,5.75628587886131,7,Arranged,0,0,8.69222646608819,1
24,4,0,Bachelor,Part-time,52987,Different Religion,1,9.75820305863217,2,Collaborative,6.01529403366885,0,0,1,3.15246784457598,4,Love,1,0,4.64815775390919,0
37,1,1,Bachelor,Homemaker,33512,Same Religion,1,5.27467577378919,0,Passive,1.78282602425155,0,0,0,7.16575743725251,3,Love,0,0,7.4234205016469,0
27,7,3,PhD,Part-time,89244,Same Religion,1,6.43864924025851,1,Collaborative,1.95331115814249,1,0,0,7.50296322297463,4,Love,0,0,5.827446538531,1
22,17,1,Bachelor,Unemployed,88112,Different Religion,0,10,2,Avoidant,8.26239826033849,1,0,0,5.52440229384842,0,Love,1,0,6.66799605600034,0
32,10,3,High School,Full-time,87908,Not Religious,1,8.65402959445264,2,Avoidant,6.55492830720665,0,0,0,7.85249749264783,2,Arranged,1,0,9.21604978739204,0
21,4,0,High School,Unemployed,36288,Not Religious,0,6.75859191660529,4,Collaborative,6.21459758369721,0,0,0,3.57193742773194,4,Arranged,1,0,3.89941347718441,0
29,27,1,Bachelor,Homemaker,68076,Not Religious,0,2.98049631012879,0,Aggressive,5.54066580263642,0,0,0,4.23244581546557,4,Love,0,0,8.62619664525814,0
18,24,1,Master,Full-time,51543,Not Religious,1,10,5,Avoidant,6.78568305151251,0,1,0,5.12732486058846,3,Love,1,0,8.32790690404178,0
21,2,4,High School,Homemaker,50455,Same Religion,0,5.51908655018287,1,Avoidant,6.78562918346821,0,0,1,6.13601394345064,4,Love,1,0,5.01682401053233,1
28,1,4,High School,Part-time,41427,Different Religion,1,6.167813042582,0,Collaborative,2.98791730689578,1,1,0,6.73244785832225,7,Love,0,0,7.4104234774972,0
31,13,1,High School,Part-time,111311,Not Religious,0,8.06362937236658,1,Collaborative,4.52480250987011,0,0,0,5.02198603865045,0,Love,1,0,5.7265116091814,0
28,17,1,Bachelor,Homemaker,55025,Not Religious,1,5.58795526581324,0,Passive,3.90410559747536,0,0,0,7.33000685806614,4,Love,1,0,2.89872877334676,0
27,34,3,High School,Full-time,41560,Not Religious,1,6.42536652610743,1,Avoidant,6.43351560748452,0,0,0,4.95660351749611,0,Love,1,0,4.73204520003131,1
26,22,1,High School,Full-time,62763,Same Religion,1,6.12896813814217,1,Aggressive,5.42215653042921,0,0,1,1.17872796411595,3,Love,1,0,5.49747280307869,1
20,9,1,Bachelor,Part-time,75262,Different Religion,0,5.27281171201436,5,Collaborative,8.16253692241918,0,0,0,3.36089668409805,3,Love,0,0,7.20991851635229,1
24,7,2,Master,Full-time,57173,Same Religion,1,6.70265501014067,2,Avoidant,5.69681310536517,0,0,0,9.25421247517456,6,Arranged,1,0,3.42373638649722,0
25,1,1,Bachelor,Full-time,64885,Same Religion,1,4.73187048591574,2,Collaborative,5.09189116311418,0,0,0,4.53487541672144,2,Love,1,0,5.00383306872397,1
33,2,2,Bachelor,Full-time,80037,Same Religion,1,3.72719467644724,0,Collaborative,7.03999851073922,0,0,0,4.80656214659748,3,Arranged,1,0,4.38486178605591,1
29,6,0,High School,Homemaker,40908,Not Religious,0,7.08166384872324,2,Collaborative,7.06450998304195,1,0,0,3.08830846694385,1,Love,0,0,5.77544284998987,0
19,9,1,PhD,Full-time,63555,Not Religious,1,8.50344344576421,1,Collaborative,8.05647210396722,0,0,0,7.14542077982335,3,Love,1,0,9.6940578975011,0
29,8,1,Bachelor,Full-time,47219,Different Religion,1,4.51494098946091,1,Aggressive,5.51158434062895,0,0,0,5.14642321392328,3,Love,1,0,1.32730541279281,0
26,13,0,No Formal Education,Homemaker,44513,Same Religion,1,4.94665502709803,5,Aggressive,10,0,0,0,5.81033860570432,0,Other,1,0,5.933403580529,0
24,3,1,No Formal Education,Homemaker,95039,Same Religion,1,6.00967149863051,3,Avoidant,7.3124834943922,0,0,1,5.7642084300031,3,Other,1,0,7.02403643665134,0
31,8,1,Master,Unemployed,58212,Different Religion,1,6.01185258939697,2,Collaborative,10,0,0,0,2.62162270803525,1,Love,1,0,6.19435548224675,0
33,1,0,High School,Part-time,38761,Same Religion,0,2.05565720373165,4,Aggressive,5.21401958899903,1,0,0,4.95468763889269,3,Love,0,0,9.20386382871384,0
32,5,3,Bachelor,Full-time,57769,Same Religion,0,5.15203333822054,0,Aggressive,10,1,0,0,8.43767543876905,4,Love,0,0,6.962169201712,0
23,13,2,High School,Full-time,35810,Not Religious,1,9.59046747849809,3,Avoidant,6.78776364009068,0,0,1,6.29515055235692,2,Love,0,0,6.47757609292863,0
26,11,2,Master,Full-time,55651,Same Religion,0,8.79488581421736,1,Avoidant,2.43769384483082,0,0,0,2.23943747883648,6,Love,1,0,3.75511205357957,0
29,40,2,Master,Unemployed,46430,Same Religion,0,9.40859443463916,4,Avoidant,2.61931561743402,0,0,0,5.71105494371569,1,Love,1,0,8.28499109922857,0
32,3,1,No Formal Education,Full-time,70218,Same Religion,0,7.23522371194593,1,Avoidant,4.25835415417234,0,0,0,5.10953911311943,0,Arranged,1,1,3.96656312644612,1
25,6,2,Bachelor,Part-time,98741,Not Religious,0,4.93611524916745,4,Collaborative,4.22849231516169,0,0,0,5.20062292137628,1,Love,1,0,6.60198324676541,0
27,3,2,Bachelor,Full-time,56501,Not Religious,1,6.51280333537405,2,Avoidant,5.85060965805783,0,0,0,4.81711983484819,0,Love,1,0,3.48255377548957,1
22,5,3,Bachelor,Full-time,47181,Not Religious,1,7.19681954087625,3,Collaborative,9.39615025538307,0,0,1,4.81159482434086,2,Love,1,0,9.52242607316266,0
22,19,1,Bachelor,Part-time,61820,Different Religion,1,5.34158211298839,2,Collaborative,5.80935635207134,0,0,0,5.70598947560459,2,Love,1,0,6.21081942177003,0
32,11,3,Bachelor,Unemployed,89825,Same Religion,1,2.55103236263983,1,Collaborative,2.4835242114383,0,0,0,4.69189152768807,2,Love,1,0,8.38682352571946,0
34,21,1,Bachelor,Full-time,70326,Not Religious,0,7.81091961539825,1,Avoidant,6.09597515026947,0,1,0,7.72602698892329,2,Arranged,1,0,7.66110516965749,1
27,2,2,PhD,Full-time,57179,Same Religion,1,5.10289747369014,2,Aggressive,3.99462026624402,0,0,0,4.60062106802411,4,Love,0,0,6.2659986866915,0
33,20,1,Bachelor,Full-time,18672,Same Religion,0,7.25279009938726,0,Collaborative,4.12429000939994,0,1,0,3.61027936159252,2,Other,0,0,7.53680787012075,1
29,1,0,Master,Full-time,58953,Same Religion,1,2.83784819765467,1,Aggressive,4.53456353721814,0,1,0,8.29272052109376,3,Love,0,0,5.94144027685929,1
24,21,2,Master,Part-time,75530,Not Religious,1,4.71673771699355,0,Aggressive,4.08201300183684,0,0,1,5.03102121765265,3,Love,1,0,1,0
29,3,2,Bachelor,Full-time,79150,Not Religious,1,6.77586518631789,1,Collaborative,1.76157337568166,0,0,1,5.34444046764768,4,Love,1,0,3.88898981148552,0
35,3,0,Bachelor,Full-time,86216,Same Religion,0,7.26207514636466,4,Collaborative,5.23901683175879,1,0,0,2.42350356596328,4,Arranged,1,0,7.55301528951921,0
27,7,3,Bachelor,Homemaker,46510,Same Religion,1,7.49712139464579,3,Collaborative,9.35207879758717,1,0,0,2.11227600765839,1,Love,0,0,4.5348866351209,1
35,28,0,Bachelor,Part-time,51939,Not Religious,1,5.86225555474321,0,Passive,7.00152495172459,0,0,0,5.96332876409804,3,Love,0,0,5.65783555129796,0
18,1,0,High School,Full-time,57595,Same Religion,1,6.38568164448087,2,Collaborative,2.02704942702743,0,0,1,7.11150492977946,4,Love,0,0,7.07076434694825,1
32,4,2,Bachelor,Full-time,74192,Different Religion,0,6.77937636446907,3,Avoidant,1,0,0,0,8.53990215732176,2,Love,1,0,6.23739675879869,1
28,19,4,No Formal Education,Full-time,54737,Same Religion,1,6.63936285373728,1,Collaborative,5.82522561577216,0,0,1,5.73328249828157,4,Love,1,0,3.17976507802439,0
26,5,1,High School,Full-time,70496,Same Religion,0,7.14236110220803,0,Collaborative,6.445152145658,0,0,0,6.13233071294278,3,Love,0,0,3.28747009893662,0
28,2,3,Bachelor,Part-time,52312,Same Religion,1,3.69755261067142,3,Collaborative,6.43946991642353,0,0,0,4.88804042417107,3,Other,1,0,6.48017685858762,1
18,5,3,Master,Part-time,45883,Same Religion,1,9.72648732603967,1,Collaborative,5.28196081796712,0,0,1,7.36850192094272,5,Love,1,0,8.20017327512595,0
26,4,2,Bachelor,Full-time,82194,Different Religion,1,5.63156663776468,1,Aggressive,2.41099642012477,0,0,0,6.53038167374648,3,Other,1,0,9.53478193059943,0
29,24,1,Bachelor,Part-time,66247,Not Religious,0,5.81020422093733,3,Avoidant,9.15634492821053,0,0,1,4.65567058633098,2,Love,1,0,9.90686474940542,1
35,14,3,Master,Full-time,74932,Same Religion,1,5.41792219928572,0,Collaborative,4.68634006423449,0,0,0,5.09188780534424,1,Love,0,1,7.13344366313208,1
25,7,4,Bachelor,Full-time,55874,Not Religious,1,6.46350613831585,4,Collaborative,3.70161668825787,0,0,1,3.26073732523217,4,Love,1,0,8.02887606481197,0
23,40,2,High School,Unemployed,76082,Different Religion,1,3.11528582610019,1,Collaborative,6.23493630422143,0,0,0,4.83091799378664,3,Love,0,0,7.19275825833433,1
25,6,2,No Formal Education,Full-time,38746,Same Religion,0,5.02543270439308,4,Avoidant,3.73830564762867,0,0,0,6.61172992035361,3,Love,1,0,4.17288929329064,0
32,1,3,Bachelor,Full-time,41931,Same Religion,1,2.18378428646815,3,Collaborative,2.16809625573247,0,0,0,6.73424651280717,3,Arranged,1,0,3.95966909434088,1
29,3,0,Bachelor,Homemaker,78842,Different Religion,1,5.0641043632715,2,Avoidant,3.78244723462687,0,1,0,4.34241531372486,4,Love,0,0,6.22996289256916,1
25,5,1,Bachelor,Full-time,58595,Same Religion,1,6.31565157350854,2,Collaborative,5.60586024425049,0,0,1,3.03324313537736,3,Love,1,1,8.19067819394683,0
30,1,1,High School,Full-time,55069,Same Religion,1,7.13898465535918,1,Collaborative,8.27258954396962,0,0,0,5.46388661706009,2,Arranged,0,0,4.48503828983933,1
28,29,1,No Formal Education,Unemployed,41609,Not Religious,1,5.88152168130104,0,Collaborative,1,0,0,0,10,4,Love,1,0,5.90216045469091,0
32,14,2,Master,Part-time,76089,Different Religion,1,6.57197219966485,1,Collaborative,6.06007916403858,1,0,1,6.63107247553412,0,Love,1,0,7.55370889121282,0
24,3,4,High School,Unemployed,97307,Same Religion,1,2.62813390735374,1,Collaborative,7.10226807422181,1,0,0,3.61952273987544,4,Love,1,0,5.84389487199814,1
26,8,2,No Formal Education,Full-time,72152,Same Religion,1,6.3118428846619,3,Avoidant,6.01756094292253,0,0,0,5.30906594634656,4,Love,0,0,6.07394152678331,0
26,12,2,Master,Full-time,51017,Same Religion,1,8.51412517165953,0,Collaborative,6.58787661478918,0,0,1,4.3041080565484,1,Arranged,1,0,8.41031518278355,0
20,28,0,Bachelor,Full-time,87735,Same Religion,1,6.927619025753,2,Avoidant,8.53383452351986,0,0,0,6.66044600039108,4,Love,0,0,10,0
29,21,4,Bachelor,Part-time,67187,Same Religion,0,4.50715478809211,2,Collaborative,7.35558865173486,0,1,0,3.43714703511373,1,Love,0,0,3.51939547786998,1
29,7,2,High School,Full-time,51340,Same Religion,1,6.33809872653278,4,Collaborative,4.00757911399038,0,1,0,7.71708641115642,6,Love,0,0,5.81139524066848,0
28,14,1,Bachelor,Part-time,85513,Same Religion,1,8.72972077167889,2,Collaborative,7.39137301608021,0,0,1,5.99420761775269,0,Love,1,0,10,0
26,8,0,High School,Full-time,56391,Different Religion,0,7.13905808003108,0,Avoidant,5.40578563261924,0,1,0,5.91553527911761,2,Love,0,0,6.21445979150857,1
20,8,2,Bachelor,Full-time,31146,Same Religion,1,7.19353031693322,2,Aggressive,6.96040265081547,0,0,0,3.89491607582707,1,Love,1,0,4.46920350021456,0
25,1,4,Bachelor,Full-time,53647,Same Religion,1,4.42759204146333,2,Collaborative,1.87671443115281,0,0,0,4.52168967446698,2,Love,1,0,7.16028151398722,0
26,1,0,Master,Homemaker,70641,Same Religion,1,5.27520722034073,4,Aggressive,4.56356731393569,0,0,0,1.76970441890767,4,Arranged,0,0,5.82213598196991,0
23,7,0,Master,Homemaker,45646,Same Religion,1,5.86271433893586,2,Aggressive,6.50841191909982,0,0,0,5.96098730644672,8,Love,0,0,3.41627684374862,0
27,3,2,High School,Homemaker,22553,Same Religion,1,9.61381617955331,1,Collaborative,4.68272047920596,1,0,1,8.00935457312581,1,Love,0,0,5.17688125427519,0
30,1,0,Master,Full-time,89396,Same Religion,0,4.17488885049783,4,Avoidant,6.3314141255601,0,1,0,4.43142088851745,3,Love,1,1,7.53457436188228,0
37,12,1,Bachelor,Full-time,119878,Same Religion,1,6.51926610096451,4,Collaborative,8.35660446212517,0,0,1,5.62844419787095,6,Love,1,0,4.52039816115934,1
28,1,2,Bachelor,Full-time,50490,Same Religion,1,7.34641129567285,2,Collaborative,4.31747942957941,0,0,0,4.48304085737035,7,Love,1,0,6.92561907618515,1
29,9,1,High School,Part-time,47403,Not Religious,0,7.48354594286116,0,Avoidant,7.21220792803207,0,0,0,4.34416194826344,6,Arranged,1,0,10,0
27,7,1,Master,Full-time,33058,Same Religion,1,5.50311450818834,3,Aggressive,2.42937283848649,0,1,0,4.04703240510639,1,Love,1,0,3.73665242912388,0
18,34,0,PhD,Full-time,43576,Same Religion,1,5.3477856149428,2,Avoidant,6.898164056896,0,0,1,7.57836265557107,4,Love,0,0,5.53777185092063,1
27,6,0,Master,Full-time,29443,Same Religion,1,9.8551827865214,1,Collaborative,1,0,0,1,5.78287168037676,5,Arranged,0,1,6.92611625741251,1
28,1,0,PhD,Full-time,33900,Not Religious,0,5.46374020690328,2,Collaborative,5.49233942388583,0,1,1,3.84328119298229,3,Love,0,0,6.67408204868824,0
40,8,0,Bachelor,Full-time,60044,Not Religious,1,5.16343137441514,1,Aggressive,5.41244405894049,0,1,0,7.11885439140595,6,Love,1,0,6.97757610102983,0
27,18,2,Master,Full-time,28419,Same Religion,1,7.85831544780451,3,Aggressive,9.30236385710975,0,0,0,3.69615038863004,0,Other,1,0,5.7148362027397,1
29,40,5,Bachelor,Full-time,30631,Same Religion,1,6.25676220039461,1,Collaborative,3.78579668095081,0,0,0,6.48201804441643,6,Love,1,0,7.20792752336827,0
27,5,2,High School,Full-time,64140,Same Religion,1,3.3984014736106,1,Collaborative,1,0,0,0,5.61889455489536,3,Love,1,0,5.1913293241302,0
22,3,1,Bachelor,Part-time,47650,Same Religion,1,7.95900146838561,4,Collaborative,6.31232267228955,0,1,0,7.92828936784222,5,Love,0,0,4.92467778650641,0
33,23,4,Bachelor,Unemployed,67133,Same Religion,1,5.20458792396771,0,Avoidant,2.46889636055114,0,0,0,6.28756763960469,3,Love,0,0,5.62717847375759,0
31,2,0,High School,Full-time,53159,Same Religion,1,5.18298825622531,5,Collaborative,5.15143901261133,0,1,0,6.79643604903865,1,Love,0,0,8.7679375999004,1
31,9,1,High School,Unemployed,56288,Same Religion,0,10,4,Aggressive,3.34989592569971,0,0,0,5.22821988385887,5,Love,1,0,5.48628799528957,1
23,5,0,High School,Full-time,75602,Same Religion,0,5.53070245673953,1,Aggressive,4.48440634648851,0,1,0,6.802652188019,3,Love,1,0,9.15076148273969,1
35,1,2,Bachelor,Full-time,49026,Same Religion,0,6.13468075365375,4,Passive,1,0,0,1,5.36251662227066,4,Love,1,0,3.00018058187897,1
20,4,0,High School,Part-time,74194,Not Religious,1,7.82639922981816,0,Avoidant,1,1,0,0,6.72880307457276,4,Other,1,0,8.30712304910228,0
30,3,0,High School,Homemaker,51603,Same Religion,1,4.13584188419689,1,Avoidant,5.9548238748644,0,0,0,6.9640668549476,6,Love,0,0,8.39785719763106,0
38,11,4,Bachelor,Part-time,43585,Different Religion,1,7.1166567906882,1,Aggressive,4.63731329134931,0,0,0,9.81655818764666,3,Love,1,0,5.81786061308543,1
23,29,3,No Formal Education,Full-time,38519,Same Religion,1,7.84806795846384,2,Aggressive,2.13801863227932,0,0,0,1,3,Love,1,0,9.95529188437235,1
25,3,2,Master,Part-time,26866,Same Religion,1,8.65303379566414,0,Collaborative,3.61917268989697,0,0,0,4.41289100806026,1,Love,0,0,5.97624368083684,1
28,16,3,Bachelor,Full-time,35191,Not Religious,1,7.31885295755558,5,Aggressive,6.22695517402442,0,0,0,2.95422974906633,4,Arranged,1,0,7.29012897714427,1
25,1,1,No Formal Education,Full-time,24530,Same Religion,1,3.79005946218787,4,Collaborative,4.30563740777688,0,0,1,4.19883035069012,4,Love,0,0,3.98309635356063,0
20,7,1,Bachelor,Full-time,40109,Same Religion,1,6.87253460313887,0,Collaborative,6.08661834967947,0,0,0,6.43557345764234,4,Love,0,0,6.47906398551994,0
28,1,0,Bachelor,Part-time,76420,Same Religion,1,3.30990425573768,1,Collaborative,2.810520736308,0,0,0,6.08744028775291,2,Love,0,0,4.29596091461486,0
22,27,0,Bachelor,Full-time,59833,Same Religion,1,8.46006228916796,0,Aggressive,6.37153394846886,0,0,0,8.30301825098963,1,Love,0,0,1.41003829655588,0
30,14,1,Bachelor,Unemployed,52242,Same Religion,0,8.1483300800071,1,Aggressive,4.40253324327863,1,1,1,7.54313313062508,3,Love,1,0,8.46533371474674,1
23,10,1,High School,Part-time,46174,Same Religion,1,6.44943748911184,3,Collaborative,5.95469677757576,0,0,0,6.43876523627647,3,Arranged,1,0,6.5991841065902,0
35,17,0,Bachelor,Full-time,58374,Same Religion,0,6.3680931574374,3,Avoidant,5.72931718798774,1,0,0,10,2,Love,1,0,8.44274257814433,0
24,10,1,Bachelor,Homemaker,60604,Same Religion,0,5.98483350755544,2,Passive,3.99024989910822,1,1,1,4.89801953282733,5,Love,1,0,6.14814130088239,1
26,34,2,Bachelor,Part-time,37698,Same Religion,0,5.94691622757648,3,Collaborative,4.11214223621145,0,0,0,7.97613811035615,2,Arranged,0,0,2.64122569364085,0
32,12,0,Master,Full-time,69271,Same Religion,0,7.93565762134209,2,Collaborative,4.62130581741903,0,0,0,4.50322746429658,1,Arranged,0,0,6.81580990878568,0
21,25,2,Bachelor,Full-time,53487,Different Religion,1,5.37715867970455,0,Collaborative,6.70729831570676,0,0,1,3.07717251799677,3,Love,1,0,6.67605907554389,0
29,7,1,Master,Part-time,65936,Same Religion,1,10,2,Aggressive,9.3193216294145,0,0,0,4.98340782588554,1,Arranged,0,0,4.9740827973266,1
34,1,2,Bachelor,Full-time,59359,Different Religion,0,6.34612992260452,0,Avoidant,3.02760259071007,0,0,0,7.73102314170561,1,Love,1,0,5.53588561091415,0
19,7,1,No Formal Education,Homemaker,31631,Not Religious,1,8.48305413368436,2,Passive,7.41707580345322,0,0,0,4.85506032131158,4,Love,0,0,6.95992818202498,1
28,1,2,Bachelor,Full-time,86016,Same Religion,1,2.69014911830559,2,Aggressive,4.3393546299442,0,0,0,6.2578292408691,3,Other,0,0,5.39466976325613,1
29,8,0,PhD,Full-time,59770,Same Religion,1,4.845511943159,1,Aggressive,4.74057766747468,0,1,0,4.55607904327668,2,Arranged,1,1,6.5218034421046,0
31,6,1,Master,Homemaker,52646,Same Religion,1,7.83279156965488,3,Passive,5.71109123277436,0,0,0,5.77152467849883,3,Love,1,0,6.18485873801828,1
21,9,1,Bachelor,Homemaker,71651,Same Religion,0,6.64539312572297,1,Passive,3.86811347707832,0,0,0,8.47863576751852,4,Arranged,0,0,5.76521200764457,0
21,1,4,Bachelor,Full-time,36853,Different Religion,1,6.05687050124067,1,Aggressive,4.10330104156215,1,0,0,5.2501879237959,2,Arranged,0,0,5.27690962518886,1
30,2,1,High School,Unemployed,28514,Same Religion,1,8.11927144825374,2,Avoidant,9.67779346493227,0,0,0,8.4384041263487,4,Love,1,0,2.55646013284757,0
29,6,2,No Formal Education,Full-time,71131,Same Religion,0,10,0,Avoidant,5.21079366530481,0,0,0,3.31557869878993,4,Love,0,0,4.12325562321503,1
29,30,1,High School,Unemployed,82931,Same Religion,1,3.68854324186892,1,Aggressive,6.23929440135697,0,0,0,1,6,Love,1,0,5.43919382890601,0
29,4,1,Bachelor,Homemaker,65728,Different Religion,0,8.00178730271037,2,Collaborative,9.54961320936644,0,0,0,3.52711436484707,4,Love,1,0,2.71473545968565,1
24,5,1,Bachelor,Full-time,76115,Same Religion,0,5.11530180989731,1,Aggressive,9.47222828409333,0,0,0,6.61356298411911,1,Love,1,0,4.03702923555374,1
29,12,3,Bachelor,Full-time,34676,Not Religious,0,7.70965065954216,1,Aggressive,4.55901637296565,1,0,0,5.49395413602512,4,Love,1,0,7.09725731501147,0
29,9,1,Bachelor,Full-time,52814,Different Religion,1,5.09190798479004,2,Aggressive,3.06072095164049,0,0,1,4.86761321016583,8,Love,0,0,4.73228618355302,0
24,3,1,PhD,Full-time,46839,Same Religion,1,7.05875004408757,4,Aggressive,2.31426533531735,0,0,0,2.63749338358117,4,Love,0,0,7.29270277067589,0
37,5,0,Bachelor,Full-time,80551,Same Religion,1,7.24053303809074,3,Passive,2.05837585544229,0,0,1,3.45548676051663,2,Love,1,0,7.69125578768015,1
30,2,1,No Formal Education,Unemployed,69881,Same Religion,1,4.60698127875387,1,Collaborative,3.93127715000377,0,1,0,4.34265969877944,4,Other,1,0,2.50870043757584,0
22,33,1,Bachelor,Full-time,80623,Same Religion,1,5.04963361691841,1,Collaborative,2.24565853018919,0,0,0,6.26303815956364,5,Love,1,0,10,0
31,1,2,High School,Full-time,47642,Not Religious,1,5.62206676022418,4,Passive,4.84004765491134,0,0,1,7.60541334443791,3,Love,0,0,5.50164406572994,0
23,4,2,High School,Unemployed,37370,Same Religion,1,2.74946000676764,1,Aggressive,3.20841685410457,0,0,1,4.5463650307993,2,Love,1,0,3.18695602351507,0
31,1,1,Master,Full-time,86581,Same Religion,1,6.90746414080952,3,Collaborative,4.15775623910676,1,0,0,4.37746432711403,3,Arranged,0,0,7.9399921250861,0
33,2,3,High School,Full-time,60522,Same Religion,1,8.94553885776383,1,Passive,4.75068113949487,0,0,0,4.03030213965293,2,Love,1,0,6.12482662369385,0
23,15,0,Bachelor,Full-time,81297,Same Religion,1,3.48158540533527,0,Collaborative,4.20082119002355,0,1,0,8.23255070129728,1,Arranged,1,0,1.16054635186926,0
