Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End
96,23,0,0,8.0,1.8,2.1,0,95,1,1.82,5.43,5.68,7.32
97,19,0,2,6.1,11.8,3.4,1,95,0,3.27,7.74,5.22,10.51
98,21,1,0,4.1,11.6,1.3,3,116,0,4.17,8.07,6.32,9.92
99,23,1,1,5.3,0.1,2.8,4,24,1,13.47,15.51,8.06,8.21
100,22,1,0,6.7,11.4,2.4,3,32,0,21.71,17.32,6.65,9.4
101,24,2,0,7.2,7.7,2.9,4,54,1,20.32,17.78,7.61,7.81
102,19,2,3,5.3,10.4,1.2,0,57,1,15.44,4.86,7.32,10.56
103,19,1,2,4.7,5.5,2.7,0,6,0,21.67,5.59,5.09,7.46
104,21,0,3,8.2,6.2,2.7,3,115,1,21.64,13.19,8.95,7.02
105,19,2,3,8.9,5.9,2.7,2,56,0,2.75,19.35,5.17,9.01
106,19,2,3,6.6,8.0,2.8,4,11,1,7.17,14.35,8.87,9.33
107,23,2,3,4.9,1.7,3.0,1,15,1,15.51,9.61,7.2,9.32
108,21,1,3,5.4,0.4,3.4,3,79,1,19.21,12.91,8.85,7.22
109,23,1,0,4.1,3.7,1.8,1,42,1,11.26,6.4,5.46,8.26
110,24,1,3,8.6,8.5,3.5,3,116,0,21.89,2.05,6.96,9.0
111,25,1,3,4.6,2.4,2.5,2,99,0,2.29,18.18,5.68,7.87
112,24,1,2,6.9,8.1,1.2,2,76,1,13.29,12.81,5.2,10.49
113,25,0,1,5.4,11.6,1.2,2,6,0,13.55,13.38,7.47,7.35
114,23,0,0,6.8,1.1,2.0,5,99,0,13.8,15.91,5.83,8.95
115,24,1,0,7.3,8.1,3.4,2,110,0,20.54,18.04,7.35,9.77
116,21,2,0,8.1,5.3,3.1,0,50,0,8.6,20.69,5.45,8.05
117,18,1,3,5.0,10.4,3.4,0,72,1,6.61,4.26,6.33,9.5
118,23,0,3,4.1,2.1,2.6,5,31,0,7.8,13.6,8.13,10.32
119,25,0,3,4.7,8.3,2.3,4,74,0,19.09,12.06,6.75,7.76
120,22,2,2,8.5,10.1,1.4,1,7,0,9.84,3.66,7.51,10.67
121,25,0,1,8.4,11.3,2.0,3,96,0,10.04,6.47,7.59,9.21
122,22,1,3,7.0,8.2,2.3,3,86,0,3.76,19.39,8.38,8.2
123,19,2,1,7.0,6.0,1.3,5,88,1,14.04,10.69,6.3,8.72
124,24,1,2,7.3,7.4,1.7,0,119,0,14.2,13.15,7.75,8.25
125,22,1,0,4.9,10.4,2.8,3,71,0,9.01,6.06,8.85,9.9
126,25,2,3,8.6,6.8,3.2,0,44,1,8.71,7.52,7.92,10.19
127,19,1,1,6.1,0.4,4.0,4,85,0,12.15,8.19,6.96,10.33
128,18,0,1,5.9,11.2,3.8,1,58,1,12.7,15.19,7.52,10.94
129,21,1,3,6.6,8.3,2.9,4,3,1,11.62,5.9,7.96,10.17
130,21,2,0,4.2,8.1,2.3,5,103,0,3.92,20.95,7.45,9.41
131,21,2,0,4.8,2.6,2.9,2,66,0,12.32,18.81,5.07,8.36
132,22,2,0,7.7,7.9,3.4,2,28,1,2.26,15.29,5.78,9.18
133,18,1,2,4.4,4.7,1.4,2,104,0,11.42,20.46,8.24,7.16
134,22,2,1,7.0,7.8,2.2,4,28,1,2.07,17.3,6.09,9.98
135,24,2,1,5.2,1.3,3.5,3,97,0,4.51,5.4,7.93,8.78
136,22,1,1,5.9,7.9,2.2,1,97,0,14.39,3.03,6.49,7.08
137,18,0,2,5.4,12.0,2.7,2,27,1,3.86,15.91,7.09,7.25
138,18,1,1,5.8,0.6,2.8,5,76,0,19.69,16.71,5.27,8.55
139,24,2,2,7.6,11.7,1.6,5,78,0,2.57,16.4,5.72,9.33
140,18,2,0,5.5,4.9,2.1,2,86,0,8.74,16.45,8.83,8.86
141,25,1,3,6.8,10.4,2.0,2,43,1,20.86,21.28,8.56,9.48
142,18,0,1,6.4,9.4,1.1,1,89,1,8.47,3.46,7.61,8.92
143,21,2,1,7.3,6.8,1.1,2,3,1,1.54,17.73,6.84,9.65
144,25,2,0,8.7,8.9,3.5,1,89,1,20.53,13.6,7.7,7.88
145,25,2,3,7.7,10.5,1.8,5,103,0,10.35,21.81,7.47,7.45
146,24,1,2,5.1,4.8,2.6,2,8,1,6.3,4.84,7.27,9.39
147,20,2,3,4.2,3.9,1.9,4,118,1,4.98,7.38,5.24,8.94
148,20,0,0,5.3,8.0,3.8,4,4,0,13.31,3.06,7.53,7.11
149,18,2,0,7.0,9.7,1.8,5,55,1,17.71,6.37,8.08,8.52
150,25,2,3,4.3,9.1,2.3,1,95,0,21.11,15.73,8.98,7.42
151,20,0,2,6.5,9.6,3.6,4,83,1,9.83,17.04,5.04,9.13
152,20,2,2,7.0,5.2,3.5,1,49,1,12.49,8.05,7.92,8.58
153,18,1,1,5.7,9.8,1.6,4,74,1,2.08,14.72,7.29,9.45
154,20,1,2,7.9,1.4,3.4,4,14,1,20.73,10.68,6.74,10.22
155,22,1,3,4.5,6.5,2.4,1,31,1,7.61,21.87,5.51,8.2
156,19,0,0,4.4,0.1,2.4,3,27,1,21.48,20.76,6.64,10.85
157,24,2,1,7.6,3.9,1.4,4,21,0,18.4,11.29,6.42,9.14
158,19,1,1,6.5,4.4,1.2,2,104,0,12.47,10.68,6.21,9.47
159,18,0,0,7.4,4.8,3.2,5,16,1,12.45,6.97,7.92,9.72
160,21,2,2,6.2,8.3,2.5,3,58,1,7.6,19.36,7.8,9.67
161,24,0,0,5.2,4.7,2.3,1,89,0,2.89,11.74,7.36,9.04
162,18,1,2,8.1,5.4,3.2,3,107,1,8.58,18.11,8.75,8.72
163,25,1,0,8.0,2.9,3.3,0,70,0,1.98,20.14,6.4,7.22
164,21,1,3,7.5,4.5,1.5,0,105,0,3.49,13.79,5.98,7.09
165,19,0,2,5.4,2.7,2.8,4,56,1,9.73,18.73,7.62,8.43
166,18,0,3,7.0,0.9,1.4,4,25,0,4.49,17.56,5.8,8.33
167,25,1,1,5.8,7.2,3.3,2,24,1,8.51,15.65,6.26,8.55
168,24,0,0,4.5,8.0,3.0,5,9,0,20.35,16.81,5.9,7.55
169,24,1,1,8.6,7.4,3.9,3,44,0,6.45,20.25,5.28,9.95
170,23,1,1,4.7,5.6,1.2,0,82,1,20.01,20.2,8.31,10.43
171,25,2,1,8.8,4.6,1.2,4,10,0,9.52,18.14,6.02,10.75
172,22,0,1,6.2,10.4,1.8,5,76,1,7.24,20.99,6.89,8.97
173,20,1,0,4.9,6.2,1.8,3,52,0,20.6,9.47,5.17,9.8
174,21,1,1,6.7,5.8,1.7,4,71,1,17.15,16.25,7.8,10.42
175,25,0,0,8.4,0.3,3.7,4,103,0,2.77,16.41,6.32,8.67
176,23,2,0,7.7,4.1,1.7,0,67,0,9.06,15.36,7.98,8.24
177,20,2,3,8.0,4.6,1.8,0,110,1,16.83,8.74,6.65,10.75
178,20,1,2,7.3,4.8,3.3,4,94,1,7.5,4.59,5.78,9.06
179,18,0,2,7.5,7.0,2.3,1,27,1,9.47,6.82,7.05,8.99
180,20,2,0,8.2,6.4,3.3,4,74,1,11.47,7.45,5.52,7.71
181,22,0,3,5.2,7.3,1.2,5,106,1,1.5,12.31,6.76,7.43
182,24,0,0,6.4,9.2,2.5,4,64,1,7.65,8.12,6.27,10.37
183,23,1,0,5.1,9.8,1.1,2,48,1,14.12,10.94,8.65,9.46
184,20,2,0,8.9,8.6,1.2,2,46,1,5.2,17.67,5.24,8.3
185,18,1,3,8.7,11.5,3.7,2,51,0,3.42,17.83,7.78,7.77
186,22,2,2,4.2,0.2,1.4,1,101,1,19.37,16.07,5.73,9.22
187,19,2,3,7.5,2.3,2.6,1,87,1,17.79,3.78,6.28,9.34
188,24,2,1,8.6,0.1,2.2,4,53,0,17.46,11.05,6.66,7.83
189,24,2,3,4.9,7.8,2.0,2,59,0,7.48,7.32,8.63,10.41
190,23,2,3,6.8,10.8,3.7,1,56,0,9.34,15.07,5.97,7.34
191,24,0,3,8.6,2.9,1.1,0,46,0,9.0,13.85,5.37,8.42
192,20,1,3,4.2,11.1,3.0,4,30,0,2.24,19.49,6.27,9.72
193,18,0,2,7.5,0.7,3.9,5,104,0,5.71,18.57,5.42,8.1
194,24,2,1,5.5,11.2,2.7,3,45,0,19.31,5.45,5.51,10.31
195,24,1,2,8.6,4.2,3.8,4,113,1,14.7,10.3,7.3,9.96
196,19,2,2,8.9,1.2,1.2,3,25,0,12.86,15.25,5.24,10.16
197,19,1,3,8.7,5.8,2.3,2,112,1,13.68,5.94,5.12,7.48
198,21,0,0,6.4,3.1,1.8,3,113,1,7.94,17.07,7.86,7.56
199,22,1,0,8.3,3.4,3.2,2,4,1,3.27,2.48,6.45,8.15
200,20,1,2,8.2,3.7,3.9,0,83,0,15.57,15.1,5.5,9.07
201,24,1,2,5.6,9.6,1.8,3,51,1,10.41,15.25,6.01,9.99
202,25,1,3,8.1,6.5,3.0,4,104,1,5.42,15.76,7.57,10.35
203,24,1,2,4.2,3.7,1.6,2,74,0,13.26,19.56,6.1,9.82
204,18,2,3,7.0,7.3,2.7,4,119,0,18.47,19.78,6.98,10.71
205,21,1,0,5.2,8.6,2.4,1,53,0,12.03,9.04,5.49,9.95
206,22,1,0,4.6,3.3,3.9,2,32,0,20.84,4.5,7.35,8.23
207,25,0,1,4.4,5.0,2.8,3,49,0,2.21,6.19,6.26,8.06
208,21,1,0,7.5,1.5,2.0,2,37,1,20.43,19.18,7.51,9.78
209,23,0,2,5.7,2.2,1.3,4,26,1,12.79,11.09,8.23,7.77
210,22,2,0,7.6,8.2,1.5,0,97,1,10.87,19.89,7.45,7.37
211,24,1,3,4.3,2.2,1.7,2,14,0,1.31,21.09,6.18,9.13
212,24,0,0,5.6,6.3,1.8,3,95,1,18.51,8.87,6.02,10.29
213,22,0,1,6.7,8.5,3.6,1,60,0,19.6,11.3,6.31,7.41
214,24,2,0,8.0,1.3,2.7,5,20,0,21.82,20.36,5.66,10.17
215,20,1,3,5.6,6.8,2.6,0,45,1,18.73,21.3,5.72,10.25
216,22,1,3,7.1,3.1,1.3,1,68,1,17.65,2.2,8.16,8.93
217,21,0,2,8.4,11.6,3.6,2,5,0,8.76,21.4,6.54,7.23
218,22,1,0,7.1,5.8,3.2,4,37,0,17.39,13.11,6.74,7.7
219,25,0,3,5.2,9.7,1.2,4,61,1,21.57,11.91,7.38,9.83
220,24,1,1,4.1,6.6,3.1,3,85,0,4.64,19.65,7.36,9.85
221,20,0,2,8.4,0.5,2.6,4,61,0,14.32,18.62,5.27,10.59
222,20,1,1,4.1,7.6,1.2,0,81,0,14.57,14.96,8.33,9.33
223,23,2,0,8.4,11.4,2.4,4,77,1,15.65,6.77,5.71,7.5
224,21,1,0,6.6,7.2,2.5,3,73,0,1.52,11.86,7.89,7.49
225,19,1,0,8.7,9.8,1.5,5,45,1,18.43,9.24,8.09,9.88
226,19,2,2,8.0,10.6,3.8,2,12,0,3.14,2.3,7.86,7.74
227,22,1,3,9.0,2.7,3.5,2,94,0,5.69,6.64,7.32,8.31
228,23,2,2,5.8,2.5,3.0,4,93,0,20.39,13.31,5.06,8.95
229,18,1,1,7.8,7.3,2.4,1,2,1,1.28,13.07,6.44,7.1
230,22,0,2,6.0,4.9,2.2,2,93,0,16.3,9.62,7.42,8.0
231,23,0,1,6.4,10.1,3.0,5,5,1,19.93,8.69,6.55,8.63
232,21,1,2,7.1,10.8,2.6,4,92,1,4.58,11.99,8.45,8.12
233,21,1,3,8.4,4.2,1.2,3,7,1,7.16,9.1,6.24,7.55
234,21,1,1,8.9,2.8,2.5,5,43,1,9.04,21.53,6.17,9.91
235,21,0,0,7.8,9.4,3.4,4,108,0,18.72,13.41,6.06,10.25
236,21,1,0,6.1,3.3,2.4,5,106,1,11.95,16.42,6.33,8.03
237,23,0,2,6.1,9.9,1.2,2,107,0,5.61,19.42,7.23,10.1
238,23,2,0,7.7,5.1,3.4,3,32,1,15.62,20.01,7.83,8.54
239,20,0,1,5.2,8.0,1.6,4,80,0,15.45,9.94,7.65,9.03
240,25,0,0,4.6,1.1,1.8,0,111,0,21.93,11.53,8.23,10.42
241,19,2,3,5.8,7.5,1.5,3,74,0,18.34,16.93,8.54,10.0
242,24,0,3,5.4,5.4,2.0,0,76,0,3.62,12.58,8.26,10.22
243,21,1,2,5.5,7.0,3.3,5,49,1,12.72,12.16,5.08,7.55
244,18,1,1,5.2,2.0,2.6,1,10,0,1.33,18.1,7.94,7.28
245,24,0,3,4.2,8.8,1.6,3,94,1,13.69,8.96,5.83,10.57
246,23,1,3,4.1,10.4,3.6,5,27,1,6.98,6.38,5.53,8.55
247,18,0,1,8.9,2.6,3.6,0,107,0,16.08,6.17,7.55,8.15
248,18,1,0,6.1,1.1,3.6,2,69,1,14.36,9.95,6.28,9.9
249,18,1,0,5.9,0.3,1.7,2,40,0,17.99,11.77,5.23,10.35
250,20,0,2,7.4,7.7,2.4,1,15,1,14.71,20.78,5.55,10.45
251,23,1,0,5.1,7.3,4.0,3,67,1,10.51,16.24,5.0,8.26
252,18,0,1,8.7,6.6,3.3,3,98,1,1.17,20.13,8.61,10.41
253,21,1,3,7.9,2.8,1.1,3,47,0,8.05,2.72,5.1,7.16
254,22,1,0,4.4,4.7,1.2,5,55,0,17.82,19.3,5.84,7.2
255,18,2,2,6.1,7.1,2.4,1,63,1,21.06,18.96,6.67,9.49
256,20,2,0,8.4,6.0,3.7,3,58,1,19.35,4.21,6.43,7.25
257,24,0,1,8.7,11.9,2.6,5,89,0,10.19,3.12,8.65,8.3
258,23,2,2,6.3,1.6,2.5,2,61,0,5.93,6.68,5.16,9.69
259,25,0,0,7.1,8.3,1.3,0,120,1,2.25,21.89,7.05,8.35
260,20,2,2,4.8,4.9,3.0,5,75,0,21.67,21.97,7.72,7.72
261,18,1,1,9.0,5.1,3.5,2,10,0,11.02,14.44,8.73,8.13
262,23,0,3,5.2,8.6,2.1,2,100,1,12.11,19.13,7.48,8.83
263,22,0,1,8.7,8.3,3.3,0,88,0,8.22,21.63,8.22,8.9
264,18,1,1,7.2,11.9,3.9,2,17,0,10.25,12.72,5.33,10.13
265,20,0,1,7.0,1.5,1.6,1,18,1,7.57,3.14,6.54,10.0
266,19,0,1,6.6,1.2,2.6,0,86,0,8.18,15.52,6.5,8.83
267,21,2,3,5.2,8.7,1.9,2,54,0,19.54,8.78,8.55,10.38
268,25,0,3,4.9,6.9,3.4,4,101,1,5.21,8.96,5.61,7.46
269,24,1,2,5.1,3.3,2.7,5,117,0,19.41,16.98,5.61,8.02
270,20,2,0,4.9,1.0,2.9,2,81,0,7.33,8.99,6.31,10.31
271,23,2,3,7.9,1.0,3.4,1,25,1,13.26,17.75,5.22,8.51
272,25,1,3,5.8,10.7,2.2,3,5,1,11.21,19.56,5.73,10.92
273,25,1,0,4.3,2.3,3.7,2,3,0,3.03,7.97,8.86,8.87
274,25,2,3,8.8,3.9,2.6,3,107,1,3.31,19.73,6.71,10.17
275,18,0,1,8.4,2.7,1.5,4,114,0,4.83,2.06,7.53,8.61
276,21,2,1,8.6,4.3,3.1,2,28,0,11.29,18.33,7.9,8.7
277,18,1,0,9.0,0.8,3.4,0,58,1,6.54,10.12,6.47,8.53
278,23,2,2,4.9,6.2,2.0,3,97,0,11.23,13.77,5.59,9.88
279,18,1,2,6.0,0.8,3.6,4,16,1,3.74,19.47,5.83,9.19
280,19,2,0,7.8,9.6,3.7,0,106,1,13.54,21.44,6.25,10.78
281,21,0,0,7.5,2.8,1.8,0,42,0,1.63,9.55,7.54,8.0
282,21,2,1,4.8,6.5,4.0,0,116,1,2.42,5.86,6.59,7.4
283,23,2,2,8.1,10.6,1.4,0,79,1,6.43,5.16,5.03,8.57
284,24,1,3,5.1,7.8,1.6,2,65,1,16.13,12.35,7.09,9.47
285,19,1,1,5.1,6.4,1.6,5,33,0,19.24,6.45,8.69,10.44
286,20,1,0,6.7,3.9,3.7,2,118,1,4.05,8.54,8.25,8.38
287,18,2,2,7.0,4.0,3.0,2,7,0,18.53,7.51,8.3,9.62
288,22,0,3,6.9,8.0,1.5,4,12,1,4.06,12.15,8.18,8.4
289,18,1,3,4.5,11.9,2.3,4,105,1,11.69,9.33,6.29,9.47
290,25,1,1,8.4,7.9,2.8,5,7,1,13.46,5.89,8.06,10.54
291,18,2,2,5.3,6.7,1.3,4,93,1,3.03,14.04,5.57,7.93
292,20,1,2,4.6,8.8,3.6,1,95,0,9.32,5.88,7.63,8.62
293,18,0,0,8.4,5.6,3.4,5,99,0,9.89,10.16,7.57,10.97
294,19,0,2,8.8,0.7,2.5,4,110,1,10.27,18.68,5.1,10.47
295,19,1,2,8.3,6.7,3.9,5,93,0,14.21,21.51,8.15,9.26
296,21,1,1,8.0,11.5,2.3,2,64,1,5.5,14.74,8.61,9.07
297,23,2,2,7.3,2.1,4.0,2,42,0,16.69,11.07,6.07,8.14
298,24,0,3,6.8,8.3,3.0,5,38,1,2.28,5.2,8.25,9.07
299,22,0,1,4.4,2.4,2.9,1,80,0,3.23,19.45,5.33,10.39
300,25,1,1,6.0,6.4,1.5,1,58,0,14.91,6.0,7.4,9.74
301,18,2,0,5.9,1.2,3.6,5,83,1,6.68,4.74,6.94,8.16
302,18,0,2,5.3,5.4,2.3,4,87,1,9.96,18.99,7.18,7.81
303,20,0,0,7.6,9.1,1.5,3,113,1,14.91,4.97,8.7,8.06
304,23,2,3,6.5,4.2,1.0,1,85,1,1.24,2.17,8.49,7.68
305,19,2,1,4.4,8.0,2.7,0,92,0,21.47,7.46,8.14,7.38
306,22,0,1,5.1,9.5,2.6,2,85,0,16.69,6.3,6.09,8.68
307,21,0,1,7.4,11.1,3.2,5,43,0,11.08,2.11,8.65,7.45
308,19,2,3,4.4,2.8,3.7,0,8,0,11.04,9.89,5.39,7.69
309,25,0,3,8.3,4.8,1.2,5,36,0,9.63,15.84,8.41,9.19
310,23,1,0,6.5,1.8,3.2,2,73,1,6.21,5.25,6.31,7.66
311,25,1,0,6.4,11.9,1.6,2,35,1,8.91,9.71,5.22,7.26
312,24,2,0,7.0,11.1,3.6,1,100,1,9.39,10.38,7.68,8.27
313,21,2,2,8.1,6.5,3.5,1,91,0,20.88,16.93,5.93,7.88
314,24,2,1,5.7,10.1,2.6,0,27,1,14.09,6.87,5.97,9.06
315,20,1,1,7.4,6.3,3.1,5,41,1,17.13,20.37,6.22,7.41
316,25,0,0,6.8,7.5,1.9,2,42,1,16.43,3.51,5.25,10.01
317,20,1,1,5.3,1.1,2.4,0,84,1,10.36,15.48,5.71,10.62
318,18,0,0,8.4,9.1,3.5,3,87,0,17.81,19.44,5.02,9.97
319,24,1,2,8.0,1.5,2.4,0,41,0,15.83,13.15,6.78,9.13
320,23,0,2,7.3,9.9,2.1,4,103,1,17.02,21.15,5.34,10.44
321,25,1,3,8.3,9.4,2.5,0,65,0,2.08,8.31,7.73,9.78
322,22,2,2,8.3,8.5,3.5,4,54,1,2.16,3.95,5.94,7.04
323,21,1,0,7.5,0.4,2.0,4,71,0,9.19,5.25,8.77,8.58
324,19,0,2,8.2,3.6,1.5,4,47,1,2.59,19.45,8.49,10.4
325,23,1,3,7.5,3.2,3.1,3,90,0,5.5,19.47,6.16,8.38
326,23,1,1,7.4,4.3,3.5,0,21,1,9.61,5.73,8.13,7.14
327,20,1,0,7.1,1.1,1.3,0,100,1,21.86,3.51,8.21,9.98
